id	uniprot	gene_name	description	p_value	fdr	log_fc	sub_local	ubi_part	in_mito
Q9JI39	Q9JI39	ABCB10	ATP-binding cassette sub-family B member 10, mitochondrial OS=Mus musculus GN=Abcb10 PE=1 SV=1	5.6652283669871514e-5	0.0015079150398087076	-0.42101504389138694	MIM	NA	TRUE
Q9DC29	Q9DC29	ABCB6	ATP-binding cassette sub-family B member 6, mitochondrial OS=Mus musculus GN=Abcb6 PE=1 SV=1	0.7028776422414627	0.7920193933021706	0.022579261693025637	MOM	NA	TRUE
Q61102	Q61102	ABCB7	ATP-binding cassette sub-family B member 7, mitochondrial OS=Mus musculus GN=Abcb7 PE=1 SV=3	0.02867625527979764	0.07600422744709077	-0.2003517326070675	MIM	NA	TRUE
Q9CXJ4	Q9CXJ4	ABCB8	ATP-binding cassette sub-family B member 8, mitochondrial OS=Mus musculus GN=Abcb8 PE=1 SV=1	0.0027102891611440177	0.01590324456187226	-0.18067184065546849	MIM	NA	TRUE
Q9JJ59	Q9JJ59	ABCB9	ATP-binding cassette sub-family B member 9 OS=Mus musculus GN=Abcb9 PE=2 SV=1	0.285231994754277	0.4103651391107611	-0.09232125440335205	NA	NA	FALSE
O35379	O35379	ABCC1	Multidrug resistance-associated protein 1 OS=Mus musculus GN=Abcc1 PE=1 SV=1	0.17945476329495158	0.29223888164798806	-0.09444514545981256	NA	NA	FALSE
Q9R1X5	Q9R1X5	ABCC5	Multidrug resistance-associated protein 5 OS=Mus musculus GN=Abcc5 PE=1 SV=2	0.1791278493713196	0.2918584782020328	0.06189496776305603	NA	NA	FALSE
P48410	P48410	ABCD1	ATP-binding cassette sub-family D member 1 OS=Mus musculus GN=Abcd1 PE=1 SV=1	0.001335348553142484	0.010124369939280288	-0.31784509321641696	Membrane	NA	TRUE
Q61285	Q61285	ABCD2	ATP-binding cassette sub-family D member 2 OS=Mus musculus GN=Abcd2 PE=1 SV=1	0.28406242334583065	0.4096865247932144	-0.12176193631074413	Membrane	NA	TRUE
P55096	P55096	ABCD3	ATP-binding cassette sub-family D member 3 OS=Mus musculus GN=Abcd3 PE=1 SV=2	0.008038828517222303	0.03257530305027358	-0.23268303330630197	Membrane	NA	TRUE
P61222	P61222	ABCE1	ATP-binding cassette sub-family E member 1 OS=Mus musculus GN=Abce1 PE=1 SV=1	4.691932937862199e-4	0.0051760212568479815	0.21246467982694622	NA	NA	FALSE
Q6P542	Q6P542	ABCF1	ATP-binding cassette sub-family F member 1 OS=Mus musculus GN=Abcf1 PE=1 SV=1	0.004464615659408	0.021598322841992847	0.24419476525149766	NA	NA	FALSE
Q99LE6	Q99LE6	ABCF2	ATP-binding cassette sub-family F member 2 OS=Mus musculus GN=Abcf2 PE=1 SV=1	7.743819765694033e-5	0.0018417799014331462	0.36808269140321126	NA	NA	FALSE
Q8K268	Q8K268	ABCF3	ATP-binding cassette sub-family F member 3 OS=Mus musculus GN=Abcf3 PE=1 SV=1	0.0013190595656087378	0.010037369322241673	0.2989265869796497	NA	NA	FALSE
Q64343	Q64343	ABCG1	ATP-binding cassette sub-family G member 1 OS=Mus musculus GN=Abcg1 PE=1 SV=1	0.3201395497023013	0.44578648339000326	-0.14716564806340648	NA	NA	FALSE
Q7TMS5	Q7TMS5	ABCG2	ATP-binding cassette sub-family G member 2 OS=Mus musculus GN=Abcg2 PE=1 SV=1	0.9598324380399732	0.9753791926442066	0.003919112931425135	NA	NA	FALSE
Q99PE8	Q99PE8	ABCG5	ATP-binding cassette sub-family G member 5 OS=Mus musculus GN=Abcg5 PE=1 SV=1	0.8200848484252219	0.8792261797721111	0.026914621995300703	NA	NA	FALSE
Q6PE15	Q6PE15	ABHD10	Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Mus musculus GN=Abhd10 PE=1 SV=1	0.30413725168449873	0.43011044749865235	0.09712585528970398	Matrix	NA	TRUE
Q8K4F5	Q8K4F5	ABHD11	Protein ABHD11 OS=Mus musculus GN=Abhd11 PE=1 SV=1	0.048941484697222294	0.11275584990607114	-0.1375646322713583	Matrix	NA	TRUE
Q99LR1	Q99LR1	ABHD12	Monoacylglycerol lipase ABHD12 OS=Mus musculus GN=Abhd12 PE=1 SV=2	0.005967724945141898	0.026605929816010385	-0.1376510447655373	NA	NA	FALSE
Q922Q6	Q922Q6	ABHD14A	Protein ABHD14A OS=Mus musculus GN=Abhd14a PE=1 SV=2	0.02062779866309333	0.06083304131902347	-0.16905589509495333	NA	NA	FALSE
Q9Z1Q2	Q9Z1Q2	ABHD16A	Protein ABHD16A OS=Mus musculus GN=Abhd16a PE=1 SV=3	0.6449604168312177	0.744734614598351	-0.017214056403555805	NA	NA	FALSE
Q99JW1	Q99JW1	ABHD17A	Protein ABHD17A OS=Mus musculus GN=Abhd17a PE=1 SV=1	0.03249843321012724	0.08322047462461342	-0.13664186196281367	NA	NA	FALSE
Q7M759	Q7M759	ABHD17B	Protein ABHD17B OS=Mus musculus GN=Abhd17b PE=1 SV=1	0.7621453024289598	0.8351469447200633	-0.013573657713072756	NA	NA	FALSE
Q8VCV1	Q8VCV1	ABHD17C	Protein ABHD17C OS=Mus musculus GN=Abhd17c PE=1 SV=2	0.2980600105609068	0.4239120886899663	-0.05427552289827632	NA	NA	FALSE
Q91ZH7	Q91ZH7	ABHD3	Phospholipase ABHD3 OS=Mus musculus GN=Abhd3 PE=1 SV=1	0.05980702511544936	0.1301192842076994	-0.21520390066488224	NA	NA	FALSE
Q8VD66	Q8VD66	ABHD4	Protein ABHD4 OS=Mus musculus GN=Abhd4 PE=1 SV=1	0.026877587442026774	0.07243399803958529	0.20333097522120164	NA	NA	FALSE
Q9DBL9	Q9DBL9	ABHD5	1-acylglycerol-3-phosphate O-acyltransferase ABHD5 OS=Mus musculus GN=Abhd5 PE=1 SV=1	0.28522984976040383	0.4103651391107611	-0.055553400105195994	NA	NA	FALSE
Q8R2Y0	Q8R2Y0	ABHD6	Monoacylglycerol lipase ABHD6 OS=Mus musculus GN=Abhd6 PE=1 SV=1	0.0029611458966888136	0.016806249328224415	-0.15355063372300565	NA	NA	FALSE
Q8CBW3	Q8CBW3	ABI1	Abl interactor 1 OS=Mus musculus GN=Abi1 PE=1 SV=3	0.13250830986078632	0.23268935378417138	0.06276057159581089	NA	NA	FALSE
P62484	P62484	ABI2	Abl interactor 2 OS=Mus musculus GN=Abi2 PE=1 SV=1	0.7422868388757842	0.8214798614946974	-0.02344288727059797	NA	NA	FALSE
P00520	P00520	ABL1	Tyrosine-protein kinase ABL1 OS=Mus musculus GN=Abl1 PE=1 SV=3	0.01889158752232605	0.057362563083567686	0.18461801674561845	NA	NA	FALSE
Q4JIM5	Q4JIM5	ABL2	Abelson tyrosine-protein kinase 2 OS=Mus musculus GN=Abl2 PE=1 SV=1	0.2515194079796123	0.375142467930675	0.05295669289879336	NA	NA	FALSE
Q8K4G5	Q8K4G5	ABLIM1	Actin-binding LIM protein 1 OS=Mus musculus GN=Ablim1 PE=1 SV=1	0.4781467067099213	0.6005637852350518	-0.05067960986108706	NA	NA	FALSE
Q8BL65	Q8BL65	ABLIM2	Actin-binding LIM protein 2 OS=Mus musculus GN=Ablim2 PE=1 SV=1	0.8631392196317014	0.9125990227850392	0.00979136928627276	NA	NA	FALSE
Q69ZX8	Q69ZX8	ABLIM3	Actin-binding LIM protein 3 OS=Mus musculus GN=Ablim3 PE=1 SV=2	0.8825480798724524	0.924892085137957	-0.009082153237130061	NA	NA	FALSE
Q5SSL4	Q5SSL4	ABR	Active breakpoint cluster region-related protein OS=Mus musculus GN=Abr PE=1 SV=1	0.07593434301376463	0.1543110186975626	0.08743967574164613	NA	NA	FALSE
Q4KML4	Q4KML4	ABRACL	Costars family protein ABRACL OS=Mus musculus GN=Abracl PE=1 SV=1	5.236750536131782e-5	0.0014458675231914424	0.2501832006506188	NA	NA	FALSE
Q921H8	Q921H8	ACAA1A	3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus GN=Acaa1a PE=1 SV=1	0.018374428409811835	0.056339240050673055	-0.12551733866449136	NA	NA	FALSE
Q8BWT1	Q8BWT1	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=3	0.008569528362902375	0.03416341613126472	-0.19448065130635311	Matrix	NA	TRUE
Q5SWU9	Q5SWU9	ACACA	Acetyl-CoA carboxylase 1 OS=Mus musculus GN=Acaca PE=1 SV=1	0.25640453897753795	0.3805909803760085	0.0476292946255804	Matrix	NA	TRUE
E9Q4Z2	E9Q4Z2	ACACB	Acetyl-CoA carboxylase 2 OS=Mus musculus GN=Acacb PE=1 SV=1	0.8700875977942213	0.9160743854911386	0.006650160454174737	MOM	NA	TRUE
Q8K370	Q8K370	ACAD10	Acyl-CoA dehydrogenase family member 10 OS=Mus musculus GN=Acad10 PE=1 SV=1	0.8234694291532848	0.8817742870137963	-0.0367070257301382	Matrix	NA	TRUE
Q80XL6	Q80XL6	ACAD11	Acyl-CoA dehydrogenase family member 11 OS=Mus musculus GN=Acad11 PE=1 SV=2	0.18021761055591853	0.29340477720647334	-0.060304555455527716	MIM	NA	TRUE
Q9D7B6	Q9D7B6	ACAD8	Isobutyryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acad8 PE=1 SV=2	0.9832494900990096	0.9905078415810643	0.0018729517507427007	Matrix	NA	TRUE
Q8JZN5	Q8JZN5	ACAD9	Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Mus musculus GN=Acad9 PE=1 SV=2	0.07119964490539404	0.14722438971346768	-0.14216667909243333	MIM	NA	TRUE
P51174	P51174	ACADL	Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadl PE=1 SV=2	0.8432508256517466	0.8977930067151786	-0.027294232665013064	MIM	NA	TRUE
P45952	P45952	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadm PE=1 SV=1	0.10056777976061586	0.1910268637724422	-0.21871134686740587	Matrix	NA	TRUE
Q07417	Q07417	ACADS	Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acads PE=1 SV=2	0.4635587917627253	0.5875502011095941	-0.10512163926766438	Matrix	NA	TRUE
Q9DBL1	Q9DBL1	ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadsb PE=1 SV=1	0.8039665658811334	0.8664388128164179	0.01996709425465064	Matrix	NA	TRUE
P50544	P50544	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadvl PE=1 SV=3	0.052276443746409336	0.1177221772754455	-0.23291388236551241	MIM	NA	TRUE
Q6ZQK5	Q6ZQK5	ACAP2	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus GN=Acap2 PE=1 SV=2	0.01836098405255975	0.056339240050673055	0.16002079803252475	NA	NA	FALSE
Q8QZT1	Q8QZT1	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus GN=Acat1 PE=1 SV=1	0.09265381197800297	0.17920519292591483	-0.10250600369157277	Matrix	NA	TRUE
Q8CAY6	Q8CAY6	ACAT2	Acetyl-CoA acetyltransferase, cytosolic OS=Mus musculus GN=Acat2 PE=1 SV=2	0.11426853876499671	0.20880797837424903	0.1857664337349522	NA	NA	FALSE
Q8BMP6	Q8BMP6	ACBD3	Golgi resident protein GCP60 OS=Mus musculus GN=Acbd3 PE=1 SV=3	0.06450688826749343	0.13714839772711468	0.11973225643928703	NA	NA	FALSE
Q5XG73	Q5XG73	ACBD5	Acyl-CoA-binding domain-containing protein 5 OS=Mus musculus GN=Acbd5 PE=1 SV=1	0.15247833099363625	0.2595949810465963	-0.10250683722473004	NA	NA	FALSE
Q9D061	Q9D061	ACBD6	Acyl-CoA-binding domain-containing protein 6 OS=Mus musculus GN=Acbd6 PE=1 SV=2	3.680467433049641e-4	0.00442717765263952	0.3053479224521803	NA	NA	FALSE
Q9D258	Q9D258	ACBD7	Acyl-CoA-binding domain-containing protein 7 OS=Mus musculus GN=Acbd7 PE=3 SV=2	0.26449142686611904	0.3888980627505526	0.185580567816779	NA	NA	FALSE
P09470	P09470	ACE	Angiotensin-converting enzyme OS=Mus musculus GN=Ace PE=1 SV=3	0.28891135646591853	0.4142359119295689	-0.09600122461537602	NA	NA	FALSE
P21836	P21836	ACHE	Acetylcholinesterase OS=Mus musculus GN=Ache PE=1 SV=1	0.002313462867547086	0.014456253982524496	-0.20154758191434388	NA	NA	FALSE
Q9JIX8	Q9JIX8	ACIN1	Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus GN=Acin1 PE=1 SV=3	0.019002533742711533	0.05755973295915769	-0.31957512804572824	NA	NA	FALSE
Q91V92	Q91V92	ACLY	ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1	0.21370898965194013	0.3338535789892321	0.12686101274803685	Matrix	NA	TRUE
P28271	P28271	ACO1	Cytoplasmic aconitate hydratase OS=Mus musculus GN=Aco1 PE=1 SV=3	0.04588399264799802	0.10757285382804634	0.21057396265055947	NA	NA	FALSE
Q99KI0	Q99KI0	ACO2	Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1	0.3685023705844316	0.4956951243022838	0.06523653047485206	Matrix	NA	TRUE
Q8VHQ9	Q8VHQ9	ACOT11	Acyl-coenzyme A thioesterase 11 OS=Mus musculus GN=Acot11 PE=1 SV=1	0.06834713535167504	0.1427416800082562	-0.19427866104086441	Matrix	NA	TRUE
Q9CQR4	Q9CQR4	ACOT13	Acyl-coenzyme A thioesterase 13 OS=Mus musculus GN=Acot13 PE=1 SV=1	0.19571496225210874	0.31238237232231475	-0.11120880156931573	Matrix	NA	TRUE
Q9QYR9	Q9QYR9	ACOT2	Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus GN=Acot2 PE=1 SV=2	0.2625555135276197	0.3869662434296091	0.06830034714647953	Matrix	NA	TRUE
Q32Q92	Q32Q92	ACOT6	Acyl-coenzyme A thioesterase 6 OS=Mus musculus GN=Acot6 PE=1 SV=1	0.2981806064596974	0.4239872001376238	-0.060823327631177364	NA	NA	FALSE
Q91V12	Q91V12	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus GN=Acot7 PE=1 SV=2	0.004171455783555754	0.02071470595654675	0.20180951047886486	Matrix	NA	TRUE
P58137	P58137	ACOT8	Acyl-coenzyme A thioesterase 8 OS=Mus musculus GN=Acot8 PE=1 SV=1	0.002468399811398575	0.014961086066180318	-0.19139545395740332	NA	NA	FALSE
Q9R0X4	Q9R0X4	ACOT9	Acyl-coenzyme A thioesterase 9, mitochondrial OS=Mus musculus GN=Acot9 PE=1 SV=1	0.12209873114717093	0.2187117256347478	0.10154272319718465	MIM	NA	TRUE
Q9R0H0	Q9R0H0	ACOX1	Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus GN=Acox1 PE=1 SV=5	0.9224998539736057	0.9516923095995277	-0.004498561651517312	NA	NA	FALSE
Q9EPL9	Q9EPL9	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3 OS=Mus musculus GN=Acox3 PE=1 SV=2	0.7455059977272175	0.8231491643042799	-0.014519245605069049	NA	NA	FALSE
Q9D358	Q9D358	ACP1	Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus GN=Acp1 PE=1 SV=3	0.14772286486915437	0.2536389019370191	0.134748979127381	MIM	NA	TRUE
P24638	P24638	ACP2	Lysosomal acid phosphatase OS=Mus musculus GN=Acp2 PE=1 SV=2	0.31735249212213007	0.442990367825022	-0.09423381379348045	NA	NA	FALSE
Q8BP40	Q8BP40	ACP6	Lysophosphatidic acid phosphatase type 6 OS=Mus musculus GN=Acp6 PE=1 SV=1	0.11503800074297901	0.21002997508678742	-0.1424014031504211	IMS	NA	TRUE
Q99PU5	Q99PU5	ACSBG1	Long-chain-fatty-acid--CoA ligase ACSBG1 OS=Mus musculus GN=Acsbg1 PE=1 SV=1	0.2852943027345881	0.4103651391107611	-0.16736102935118516	NA	NA	FALSE
Q8VCW8	Q8VCW8	ACSF2	Acyl-CoA synthetase family member 2, mitochondrial OS=Mus musculus GN=Acsf2 PE=1 SV=1	0.3230879275050714	0.4481958275768955	-0.13322548169675522	Matrix	NA	TRUE
Q3URE1	Q3URE1	ACSF3	Acyl-CoA synthetase family member 3, mitochondrial OS=Mus musculus GN=Acsf3 PE=1 SV=2	0.06196996216437642	0.13375504255975657	-0.1487360983664753	Matrix	NA	TRUE
P41216	P41216	ACSL1	Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus GN=Acsl1 PE=1 SV=2	0.4043724397425129	0.5317103659832272	-0.032439299214293435	MOM	NA	TRUE
Q9CZW4	Q9CZW4	ACSL3	Long-chain-fatty-acid--CoA ligase 3 OS=Mus musculus GN=Acsl3 PE=1 SV=2	0.0055720337051996935	0.02525584842465513	-0.13999293313112987	NA	NA	FALSE
Q9QUJ7	Q9QUJ7	ACSL4	Long-chain-fatty-acid--CoA ligase 4 OS=Mus musculus GN=Acsl4 PE=1 SV=2	0.05644915979570374	0.1248548424759996	-0.1756242702909811	NA	NA	FALSE
Q8JZR0	Q8JZR0	ACSL5	Long-chain-fatty-acid--CoA ligase 5 OS=Mus musculus GN=Acsl5 PE=1 SV=1	0.5938841758485318	0.7035502878660164	0.0270315932527177	NA	NA	FALSE
Q91WC3	Q91WC3	ACSL6	Long-chain-fatty-acid--CoA ligase 6 OS=Mus musculus GN=Acsl6 PE=1 SV=1	0.00652500937501695	0.028323340486281073	-0.16487883857392596	MOM	NA	TRUE
Q99NB1	Q99NB1	ACSS1	Acetyl-coenzyme A synthetase 2-like, mitochondrial OS=Mus musculus GN=Acss1 PE=1 SV=1	0.9352414631207102	0.9596350642749414	-0.011481767520108639	MIM	NA	TRUE
Q9QXG4	Q9QXG4	ACSS2	Acetyl-coenzyme A synthetase, cytoplasmic OS=Mus musculus GN=Acss2 PE=1 SV=2	0.14283939235656476	0.24749299703774796	0.13949126488149455	NA	NA	FALSE
P68134	P68134	ACTA1	Actin, alpha skeletal muscle OS=Mus musculus GN=Acta1 PE=1 SV=1	0.012155844671647863	0.042889141209976306	0.156465690853075	NA	NA	FALSE
P63260	P63260	ACTG1	Actin, cytoplasmic 2 OS=Mus musculus GN=Actg1 PE=1 SV=1	0.028856763098450342	0.07625646522214063	0.11884996543006303	NA	NA	FALSE
Q9Z2N8	Q9Z2N8	ACTL6A	Actin-like protein 6A OS=Mus musculus GN=Actl6a PE=1 SV=2	0.2901206334617981	0.4155494761400383	0.08392919052342902	NA	NA	FALSE
Q99MR0	Q99MR0	ACTL6B	Actin-like protein 6B OS=Mus musculus GN=Actl6b PE=1 SV=1	2.510978459690882e-4	0.0035454108951165843	0.2936235831564602	NA	NA	FALSE
Q7TPR4	Q7TPR4	ACTN1	Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=1 SV=1	0.5587473062248904	0.6731441449223208	0.04101905158133382	NA	NA	FALSE
Q9JI91	Q9JI91	ACTN2	Alpha-actinin-2 OS=Mus musculus GN=Actn2 PE=1 SV=2	0.8466391836105865	0.9007182270133111	0.016328249820821195	NA	NA	FALSE
P57780	P57780	ACTN4	Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1	0.1380873780194397	0.24066217595753564	0.07542129769339735	NA	NA	FALSE
Q9QZB7	Q9QZB7	ACTR10	Actin-related protein 10 OS=Mus musculus GN=Actr10 PE=1 SV=2	0.5589296768946521	0.6732341862075966	0.033363126944038944	NA	NA	FALSE
P61164	P61164	ACTR1A	Alpha-centractin OS=Mus musculus GN=Actr1a PE=1 SV=1	0.23887245037773663	0.36099231145512023	0.05478424129986331	NA	NA	FALSE
Q8R5C5	Q8R5C5	ACTR1B	Beta-centractin OS=Mus musculus GN=Actr1b PE=1 SV=1	0.14064654118828207	0.24423767771590904	0.06148202844565051	NA	NA	FALSE
P61161	P61161	ACTR2	Actin-related protein 2 OS=Mus musculus GN=Actr2 PE=1 SV=1	0.3757653282134096	0.5028695181803331	0.04288293490827195	NA	NA	FALSE
Q99JY9	Q99JY9	ACTR3	Actin-related protein 3 OS=Mus musculus GN=Actr3 PE=1 SV=3	0.012463885809207487	0.04372496115344522	0.1311693323311806	NA	NA	FALSE
Q641P0	Q641P0	ACTR3B	Actin-related protein 3B OS=Mus musculus GN=Actr3b PE=1 SV=1	0.8455750000098364	0.8999611408986774	-0.010676590264508616	NA	NA	FALSE
P37172	P37172	ACVR1	Activin receptor type-1 OS=Mus musculus GN=Acvr1 PE=2 SV=2	0.28532022222105513	0.4103651391107611	-0.054017715925038394	NA	NA	FALSE
Q61271	Q61271	ACVR1B	Activin receptor type-1B OS=Mus musculus GN=Acvr1b PE=1 SV=1	0.006978275265568956	0.029632798225481205	-0.20246346833580817	NA	NA	FALSE
P27038	P27038	ACVR2A	Activin receptor type-2A OS=Mus musculus GN=Acvr2a PE=1 SV=1	7.96803244918709e-5	0.0018636020628009554	-0.4156145411287369	NA	NA	FALSE
Q99JW2	Q99JW2	ACY1	Aminoacylase-1 OS=Mus musculus GN=Acy1 PE=1 SV=1	0.009951491029987056	0.03770234790585648	0.1951902462622001	NA	NA	FALSE
P56376	P56376	ACYP1	Acylphosphatase-1 OS=Mus musculus GN=Acyp1 PE=1 SV=2	0.0019081800694621253	0.012697517377112333	0.3111334272228725	NA	NA	FALSE
P56375	P56375	ACYP2	Acylphosphatase-2 OS=Mus musculus GN=Acyp2 PE=1 SV=2	0.21720645097212488	0.3377147280215364	0.11864828715781697	NA	NA	FALSE
P03958	P03958	ADA	Adenosine deaminase OS=Mus musculus GN=Ada PE=1 SV=3	0.05868883694670112	0.1282664832640166	0.1422325290224681	NA	NA	FALSE
O35598	O35598	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus GN=Adam10 PE=1 SV=2	0.006724641622410595	0.0289488185465783	-0.20358966809131177	NA	NA	FALSE
Q9R1V4	Q9R1V4	ADAM11	Disintegrin and metalloproteinase domain-containing protein 11 OS=Mus musculus GN=Adam11 PE=1 SV=2	0.03501723388892755	0.08785912473936697	-0.11172456226493482	NA	NA	FALSE
O88839	O88839	ADAM15	Disintegrin and metalloproteinase domain-containing protein 15 OS=Mus musculus GN=Adam15 PE=1 SV=2	0.43350632712767667	0.5605917048136485	-0.14211884820821796	NA	NA	FALSE
Q9Z0F8	Q9Z0F8	ADAM17	Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus GN=Adam17 PE=1 SV=3	0.9710555371620913	0.9829992531071177	0.003422883440940057	NA	NA	FALSE
Q60718	Q60718	ADAM2	Disintegrin and metalloproteinase domain-containing protein 2 OS=Mus musculus GN=Adam2 PE=1 SV=2	0.036768175951861416	0.09133635447930626	0.1378640180252854	NA	NA	FALSE
Q9R1V6	Q9R1V6	ADAM22	Disintegrin and metalloproteinase domain-containing protein 22 OS=Mus musculus GN=Adam22 PE=1 SV=2	0.24189450849805919	0.3647221076980867	-0.06770012021394199	NA	NA	FALSE
Q9R1V7	Q9R1V7	ADAM23	Disintegrin and metalloproteinase domain-containing protein 23 OS=Mus musculus GN=Adam23 PE=1 SV=1	0.4336783792816178	0.5606982766445886	-0.03998683679746962	NA	NA	FALSE
Q61072	Q61072	ADAM9	Disintegrin and metalloproteinase domain-containing protein 9 OS=Mus musculus GN=Adam9 PE=1 SV=2	0.002414019190497899	0.014731404913721326	-0.16963876465050556	NA	NA	FALSE
P97857	P97857	ADAMTS1	A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Mus musculus GN=Adamts1 PE=1 SV=4	0.003729708635029032	0.019424918827732385	0.427559006870311	NA	NA	FALSE
Q8R2V5	Q8R2V5	ADAP2	Arf-GAP with dual PH domain-containing protein 2 OS=Mus musculus GN=Adap2 PE=1 SV=1	0.37868930073560536	0.5058085791375638	0.0776171286921864	NA	NA	FALSE
Q99MU3	Q99MU3	ADAR	Double-stranded RNA-specific adenosine deaminase OS=Mus musculus GN=Adar PE=1 SV=2	0.02092443407616842	0.061412099744156366	0.19266118879522087	NA	NA	FALSE
